tags: ἕρμαιον ἕρμαιον-10 vocabulaire

γράφω|j'écris, je dessine
τὸ πεδίον|la plaine
ὅμοιος|semblable
ὅμοιος <span class="cas">+dat</span>|semblable à
ὅμοιος θεῷ|semblable à un dieu
ὁ οὐρανός|le ciel
ἀκούω|j'entends, j'écoute
ὥστε|de telle sorte que
τε|et
ὁ λίθος|la pierre
τὸ πῦρ, πυρός<br><span class="fr">[πυ<span class="desinence">ρ</span>-]</span>|le feu
ὁ καπνός|la fumée
ὁ ἥλιος|le soleil
κρύπτω|je cache
ὁ σκότος|l'obscurité
τὸ φῶς, φωτός<br><span class="fr">[φω<span class="desinence">τ</span>-]</span>|la lumière
οὖν|donc
ἐκ <span class="cas">+gen</span>|hors de [proclitique]

ἤδη|déjà
παρα-σκευάζω|je prépare
καθαίρω|je nettoie, je purifie
καθᾰρός|propre, pur
ἡ ὠφέλ<span class="desinence">ειᾰ</span>|l'aide, l'utilité
ὠφελέ-ω|j'aide
ὠφέλῐμος|utile
ὁ βότρυς, -υος|la grappe
βάλλω|je lance, je jette&nbsp;; dans les composés, le sens affaibli de <span style="font-style: italic">mettre</span> peut remplacer le sens fort de <span style="font-style: italic">lancer</span>
κατα-ϐάλλω|j'abats (une muraille, etc.), je jette bas&nbsp;; je dépose, je pose (une somme d'argent à la banque, les fondations d'une entreprise, etc.)
ὁ οἶνος [*<span style="font-style: italic">F</span>οινος]|le vin
ἡ τροφή|la nourriture
ἡ ἀτροφίᾱ|le manque de nourriture
χέ-ω [*χέ<span style="font-style: italic">F</span>ω]|je verse (ce dit de tout ce qui peut se verser de façon continue&nbsp;: liquide, farine, …)
ἡ ἄμπελος|la vigne
βάλλω λίθον|je jette une pierre
λίθῳ βάλλομαι|je suis atteint par une pierre
βάλλω τινὰ λίθῳ|je frappe quelqu'un d'une pierre (lancée)

ὁ Κροῖσος|Crésus
ὁ Σόλων, &#8209;ωνος<br><span class="fr">[Σολ<span class="desinence">ων</span>-]</span>|Solon
ὁ Διογένης|Diogène
ἡ Νιόϐη|Niobè
ὁ Σωκράτης|Socrate
αἰσχύνομαι|je respecte
διάπυρος|incandescent
ὁ ζωγράφος|le peintre
ὁ λύκος|le loup
ἡ ὕλη|la forêt
σχεδόν|presque
ὅτε|lorsque
ἕνεκα|à cause de, pour <span class="cas">+gen</span>
εἰς τὸ <span class="cas">+inf</span>|pour
τὸ ἕρμα, &#8209;ατος<br><span class="fr">[ἑρμα<span class="desinence">τ</span>-]</span>|la boucle d'oreille
πάλαι|autrefois
μέλλω <span class="cas">+inf</span>|je suis sur le point de
τὸ ὄψον|les légumes, la viande, le poisson (le plat cuisiné)
ὅμως|cependant
ἀπο-ϐαίνειν|avoir une issue, aboutir
πάρ-ειμι|je suis là, je suis présent
ἄπ-ειμι|je suis absent
