tags: ἕρμαιον ἕρμαιον-11 vocabulaire

τὸ τεῖχος|le rempart
τὸ ὄνειδος|le blâme

ἡ ἀρχή|le commencement, le commandement
τὸ ὄρος|la montagne
τὸ ἄνθος|la fleur
συλ-λέγω|j'assemble, je cueille
μιμέ-ομαι|j'imite
ἡ Νύμφη|la Nymphe
διὰ παντὸς τοῦ ἔαρος|durant tout le printemps

τὸ τέλος|la fin
τὸ θέρος|l'été
τὸ δένδρον|l'arbre
ὁ ποταμός|le fleuve
ὁ ἄνεμος|le vent
ῥέ-ω [*ῥέ<span style="font-style: italic">F</span>ω]|je coule
πνέ-ω [*πνέ<span style="font-style: italic">F</span>ω]|je souffle
ὁ ἔρως, &#8209;ωτος<br><span class="fr">[ἐρω<span class="desinence">τ</span>-]</span>|l'amour
ἐρά-ω|je suis amoureux de <span class="cas">+gen</span>
λούω|je lave
λούομαι|je me baigne
ὁ ἰχθύς, -ύος (ῡ)|le poisson
πίνω (ῑ)|je bois

θερμός|chaud
παύομαι|je cesse
ἡ παῦσις|la pause
ἐρίζω|je discute, je me dispute
ἐρίζειν τινί|se disputer (ou discuter) avec quelqu'un
ἐριστικός|porté sur la discussion
ἡ ἐριστικὴ τέχνη|l'art de la controverse
ἡ πηγή|la source
καινός|nouveau, étrange
λαμϐάνω|je prends
ἐσθίω|je mange
κατ-εσθίω|je dévore
ᾄδω|je chante

τὸ ἦθος|le caractère
τὸ ἔθος|l'habitude
τὸ ἔθνος|la nation
τὸ νεῖκος|la querelle
τὸ ψεῦδος|le mensonge
τὸ γένος|la race
τὸ ἔαρ, ἔαρος<br><span class="fr">[ἐα<span class="desinence">ρ</span>-]</span>|le printemps
ὁ στέφανος|la couronne
ἡ ἑορτή|la fête
τὸ σμῆνος|la ruche
τὸ μέλι, &#8209;ιτος<br><span class="fr">[μελι<span class="desinence">τ</span>-]</span>|le miel
τὸ κέντρον|l'aiguillon
ἡ Ἀραϐία|l'Arabie
ἡ ἀδελφή|la sœur
ἡ Δαναή|Danaè
θνητός|mortel
Νάρκισσος|Narcisse
ἡ εἰκών, &#8209;όνος<br><span class="fr">[εἰκ<span class="desinence">ον</span>-]</span>|l'image

ἀκμάζω|je suis à mon apogée, je m'épanouis
ἡ ἀκμή|le plus haut point (de force, de maturité, etc.)
ὁ δρυμός|le taillis
ὁ λειμών, &#8209;ῶνος<br><span class="fr">[λειμ<span class="desinence">ων</span>-]</span>|la prairie
ὄρειος|de la montagne
ὁ βόμϐος|le bourdonnement
βομϐέ-ω|je bourdonne
ὁ ἦχος|le bruit
ἡ ἠχή|le bruit
τὸ σκίρτημα, &#8209;ατος<br><span class="fr">[σκιρτημα<span class="desinence">τ</span>-]</span>|le bond
σκιρτά-ω|je bondis (avec la nuance de <span style="font-style: italic">sauter en tous sens</span>)
κατ-έχω|je tiens, j'enveloppe
ὁ μιμητής|l'imitateur
ὁ κόλπος|le pli que la ceinture fait faire au vêtement et qui sert de poche
πλέκω|je tresse
τὸ λήϊον|la moisson (sur pied)
ἡ ὀπώρᾱ|la saison des fruits, les fruits
ἡ ὀδμή|l'odeur
ἡ βληχή|le bêlement
συρίττω|je joue de la syrinx (flûte de Pan)
συρίζω|je joue de la syrinx (flûte de Pan)
ἡ πίτυς, &#8209;υος|le pin
ἐμ-πνέω|je souffle dans <span class="cas">+dat</span>
τὸ μῆλον|la pomme
χαμαί|à terre
ὁ Δάφνις, &#8209;ιδος<br><span class="fr">[Δαφνι<span class="desinence">δ</span>-]</span>|Daphnis
θάλπω|j'échauffe
ἐμ-ϐαίνω|j'entre (dans)
θηρά-ω|je chasse, je pêche, je capture
καθ᾿ ἑκάστην ἡμέραν|chaque jour
πάλιν|de nouveau, encore
ἡ τέρψις|le plaisir
θέρειος|estival
νήχω|je nage
ἡ ἀηδών, &#8209;όνος<br><span class="fr">[ἀηδ<span class="desinence">ον</span>-]</span>|le rossignol
ἡ ἀκρίς, &#8209;ίδος<br><span class="fr">[ἀκρι<span class="desinence">δ</span>-]</span>|la sauterelle
λάλος|bavard, babillard (féminin semblable au masculin)
ἠχέ-ω|je suis sonore, je bruis
