tags: ἕρμαιον ἕρμαιον-3 vocabulaire

τὸ δῶρον|le cadeau
τὸ ζῷον|l'animal
τὸ φάρμακον|le poison, le remède
ὁ ὕπνος|le sommeil
τὸ κακόν|le mal, le malheur
δεινός|terrible
τρέχω|je cours

κακολόγος|médisant
τὸ ζυγόν|le joug
ὁ οἶκος|la maison
ὁ φόνος|le meurtre
τὸ πρόσωπον|le visage
τὸ ὄργανον|l'outil
τὸ ὅπλον|l'arme
τὸ πλοῖον|le navire
τὸ δεῖπνον|le dîner
τὸ πτερόν|l'aile
ὁ μῦθος|la fable
γέλοιος|ridicule
ἐρυθρός|rouge
τὸ ἱμάτιον|le vêtement
λευκός|blanc
ἐσθίω|je mange
ψεύδω|je trompe
πταίρω|j'éternue
βαδίζω|je marche
μεστός <span class="cas">+gen</span>|plein de
τὸ ῥόδον|la rose
τὸ ἴον|la violette
τὸ σέλινον|le persil, l'ache
τὸ τέκνον|l'enfant
τὸ κώνειον|la ciguë
τρώγω|je ronge
σείω|je secoue
τὸ φύλλον|la feuille
τὸ φυτόν|le plant, la plante
ἆρα|assurément
ὁ θυμός|le cœur
