tags: ἕρμαιον ἕρμαιον-4 conjugaison

παιδεύεσθαι (6mp)|éduquer (M), être éduqué (P)|infinitif imperfectif|voix médio-passive|παιδεύ-ε-σθαι|
λύεσθαι (6mp)|délier (M), être délié (P)|infinitif imperfectif|voix médio-passive|λύ-ε-σθαι|

τιμᾶν (6a)|honorer|infinitif imperfectif|voix active|τιμ-ᾶν|[*τιμά-εν]
τιμᾶσθαι (6mp)|honorer (M), être honoré (P)|infinitif imperfectif|voix médio-passive|τιμ-ᾶσθαι|[*τιμά-εσθαι]

ποιεῖν (6a)|faire|infinitif imperfectif|voix active|ποι-εῖν|[*ποιέ-εν]
ποιεῖσθαι (6mp)|faire (M), être fait (P)|infinitif imperfectif|voix médio-passive|ποι-εῖσθαι|[*ποιέ-εσθαι]

δηλοῦν (6a)|montrer|infinitif imperfectif|voix active|δηλ-οῦν|[*δηλό-εν]
δηλοῦσθαι (6mp)|montrer (M), être montré (P)|infinitif imperfectif|voix médio-passive|δηλ-οῦσθαι|[*δηλό-εσθαι]
