tags: ἕρμαιον ἕρμαιον-4 conjugaison

παιδεύομαι (1mp)|j'éduque (M), je suis éduqué (P)|indicatif imperfectif présent|voix médio-passive|παιδεύ-ο<span class="desinence">-μαι</span>||παιδεύ-ει (-ῃ)|[*-ε<span class="desinence">-σαι</span>]|παιδεύ-ε<span class="desinence">-ται</span>||παιδευ-ό<span class="desinence">-μεθᾰ</span>||παιδεύ-ε<span class="desinence">-σθε</span>||παιδεύ-ο<span class="desinence">-νται</span>|

λύομαι (1mp)|je délie (M), je suis délié (P)|indicatif imperfectif présent|voix médio-passive|λύ-ο<span class="desinence">-μαι</span>||λύ-ει (-ῃ)|[*-ε<span class="desinence">-σαι</span>]|λύ-ε<span class="desinence">-ται</span>||λυ-ό<span class="desinence">-μεθᾰ</span>||λύ-ε<span class="desinence">-σθε</span>||λύ-ο<span class="desinence">-νται</span>|

τιμῶ (1a)|j'honore|indicatif imperfectif présent|voix active|τιμ-ῶ|[*τιμά<span class="desinence">-ω</span>]|τιμ-ᾷς|[*τιμά<span class="desinence">-εις</span>]|τιμ-ᾷ|[*τιμά<span class="desinence">-ει</span>]|τιμ-ῶμεν|[*τιμά-ο<span class="desinence">-μεν</span>]|τιμ-ᾶτε|[*τιμά-ε<span class="desinence">-τε</span>]|τιμ-ῶσι(ν)|[*τιμά-ουσῐ(ν)]

τιμῶμαι (1mp)|j'honore (M), je suis honoré (P)|indicatif imperfectif présent|voix médio-passive|τιμ-ῶμαι|[*τιμά-ο<span class="desinence">-μαι</span>]|τιμ-ᾷ|[*τιμά-ει (-ε<span class="desinence">-σαι</span>)]|τιμ-ᾶται|[*τιμά-ε<span class="desinence">-ται</span>]|τιμ-ώμεθα|[*τιμα-ό<span class="desinence">-μεθᾰ</span>]|τιμ-ᾶσθε|[*τιμά-ε<span class="desinence">-σθε</span>]|τιμ-ῶνται|[*τιμά-ο<span class="desinence">-νται</span>]

ποιῶ (1a)|je fais|indicatif imperfectif présent|voix active|ποι-ῶ|[*ποιέ<span class="desinence">-ω</span>]|ποι-εῖς|[*ποιέ<span class="desinence">-εις</span>]|ποι-εῖ|[*ποιέ<span class="desinence">-ει</span>]|ποι-οῦμεν|[*ποιέ-ο<span class="desinence">-μεν</span>]|ποι-εῖτε|[*ποιέ-ε<span class="desinence">-τε</span>]|ποι-οῦσι(ν)|[*ποιέ-ουσῐ(ν)]

ποιοῦμαι (1mp)|je fais (M), je suis fait (P)|indicatif imperfectif présent|voix médio-passive|ποι-οῦμαι|[*ποιέ-ο<span class="desinence">-μαι</span>]|ποι-εῖ|[*ποιέ-ει (-ε<span class="desinence">-σαι</span>)]|ποι-εῖται|[*ποιέ-ε<span class="desinence">-ται</span>]|ποι-ούμεθα|[*ποιε-ό<span class="desinence">-μεθᾰ</span>]|ποι-εῖσθε|[*ποιέ-ε<span class="desinence">-σθε</span>]|ποι-οῦνται|[*ποιέ-ο<span class="desinence">-νται</span>]

δηλῶ (1a)|je montre|indicatif imperfectif présent|voix active|δηλ-ῶ|[*δηλό<span class="desinence">-ω</span>]|δηλ-οῖς|[*δηλό<span class="desinence">-εις</span>]|δηλ-οῖ|[*δηλό<span class="desinence">-ει</span>]|δηλ-οῦμεν|[*δηλό-ο<span class="desinence">-μεν</span>]|δηλ-οῦτε|[*δηλό-ε<span class="desinence">-τε</span>]|δηλ-οῦσι(ν)|[*δηλό-ουσῐ(ν)]

δηλοῦμαι (1mp)|je montre (M), je suis montré (P)|indicatif imperfectif présent|voix médio-passive|δηλ-οῦμαι|[*δηλό-ο<span class="desinence">-μαι</span>]|δηλ-οῖ|[*δηλό-ει (-ε<span class="desinence">-σαι</span>)]|δηλ-οῦται|[*δηλό-ε<span class="desinence">-ται</span>]|δηλ-ούμεθα|[*δηλο-ό<span class="desinence">-μεθᾰ</span>]|δηλ-οῦσθε|[*δηλό-ε<span class="desinence">-σθε</span>|δηλ-οῦνται|[*δηλό-ο<span class="desinence">-νται</span>]
