tags: ἕρμαιον ἕρμαιον-4 vocabulaire

τιμά-ω|j'honore
ποιέ-ω|je fais
δηλό-ω|je montre

ὁ καιρός|l'occasion, la circonstance
χρηστός|bon (le plus souvent au sens moral&nbsp;: serviable, honnête, bienfaisant&nbsp;; mais souvent aussi au sens matériel&nbsp;: de bonne qualité, utile)
πονηρός|mauvais (le plus souvent au sens moral&nbsp;: méchant, fourbe, malhonnête&nbsp;; mais souvent aussi au sens matériel&nbsp;: de mauvaise qualité, défectueux)
γίγνομαι|je deviens (ou à propos d'un événement&nbsp;: se produire, arriver)
λυπέ-ω|j'afflige
φιλέ-ω|j'aime
νέος|jeune
ὁ δοῦλος|l'esclave
ἐλεύθερος|libre
ὁ ξένος|l'hôte, l'étranger
ἔρημος|désert&nbsp;; vide de, privé de <span class="cas">+gen</span>
εὖ|bien
εὖ ποιέ-ω|je fais bien&nbsp;; je fais du bien à <span class="cas">+acc</span>
δέχομαι|je reçois
μέν… δέ…|d'une part… d'autre part…
ὃ μέν… ὃ δέ…|l'un… l'autre…

ὁ ἐρημίτης|l'ermite
κελεύω|j'ordonne
πέμπω|j'envoie
ἀσπάζομαι|je salue
ψεύδομαι|je mens
εὔχομαι|je prie (je demande par des prières)
ἥδομαι|je me réjouis
τελευτά-ω|je finis
ἀγαπά-ω|j'aime
νικά-ω|je vaincs
αἰτέ-ω|je demande
ἐλευθερό-ω|je libère
κακό-ω|j'endommage, j'abîme
δουλό-ω|j'asservis
γελά-ω|je ris
βοά-ω|je crie
ὀρχέ-ομαι|je danse
λαλέ-ω|je bavarde
πονέ-ω|je me donne du mal
ἀφ-ικνέ-ομαι|j'arrive (à destination)
ἀδικέ-ω|j'agis contre la loi
ὁ τυρός|le fromage
ὁ διδάσκαλος|l'instituteur, le professeur
Κορίνθιος|Corinthien
δῃό-ω|je dévaste
πολέμιος|ennemi
ἄδικος|injuste
ἀδίκως|injustement
ζημιό-ω|je punis
ὁ δόλος|la ruse
ἄθλιος|pauvre (malheureux)
μαστιγό-ω|je fouette
ὁ Ἀλέξανδρος|Alexandre
ὁ Δαρεῖος|Darius
ῥᾴθυμος|paresseux
βοηθέ-ω|je porte secours
σπουδαῖος|actif
φιλόξενος|hospitalier
φιλάνθρωπος|humain
φιλεργός|laborieux
ἀεί|toujours
τιτρώσκω|je blesse
τὸ <span class="cas">+inf</span>|le fait de
ἑκούσιος|volontaire
ἑκουσίως|volontairement
ὁ τροχός|la roue
