tags: ἕρμαιον ἕρμαιον-8 vocabulaire

αὐτός, αὐτό, αὐτή|pronom personnel de la 3<sup>ème</sup> personne

ὅδε, τόδε, ἥδε|celui-ci, ceci, celle-ci<br>[pronom-adj. démonstratif]
οὗτος, τοῦτο, αὕτη|cet, ce, cette<br>[pronom-adj. démonstratif]
ἐκεῖνος|celui-là, cela, celle-là<br>[pronom-adj. démonstratif]

δίκαιος|juste
ἡ δικαιο<span class="desinence">σύνη</span>|la justice
δικάζω (ᾰ)|je juge
ἄρχω <span class="cas">+gen</span>|je commande
ἄρχομαι <span class="cas">+gen</span>|je commence
ὁ ἄρχων, &#8209;οντος<br><span class="fr">[ἀρχο<span class="desinence">ντ</span>-]</span>|le chef, le magistrat
ἡ μον<span class="desinence">αρχίᾱ</span>|la monarchie (le gouvernement d'un seul, μόνος)
ἡ ὀλιγ<span class="desinence">αρχίᾱ</span>|l'oligarchie (le gouvernement d'un petit nombre, ὀλίγοι)
κλέπτω|je vole
ἁρπάζω|je ravis, j'enlève
ἡ ἁρπαγή|le pillage
ἡ βία|la violence
βίαιος|violent
ὡς, ὥσπερ|comme (avec idée de comparaison&nbsp;: de la même façon que)
ἡ ἀπάτη|la tromperie
ἀπατά-ω|je trompe
διδάσκω <span class="cas">+2acc</span><br><span class="fr">[διδαχ-]</span>|j'enseigne
πείθω|je persuade
πείθομαι|j'obéis
πείθεσθαί τινι|obéir à quelqu'un
αἱ Χάριτες · Ἀγλαΐα, Εὐφροσύνη, Θαλία|les Grâces
ἡ εὐχαριστίᾱ|la reconnaissance
ἀλλά|mais
περί <span class="cas">+acc</span>|autour de (sens concret)
περί <span class="cas">+gen</span> ou <span class="cas">acc</span>|au sujet de (sens figuré)
περὶ τὸ δένδρον|autour de l'arbre
περὶ τῶν θεῶν<br>περὶ τοὺς θεούς|au sujet des dieux

ὁ βίος|la vie
ἡ ἡγεμον<span class="desinence">ίᾱ</span>|l'autorité, l'hégémonie
πράττω|je fais
ὁ νόμος|la loi
ὁ ζῆλος|le zèle, la jalousie
ζηλό-ω|je jalouse
σῴζω|je sauve, je préserve
ἡ σωτηρ<span class="desinence">ίᾱ</span>|le salut
κατά <span class="cas">+gen</span>|contre (hostilité)
κατά <span class="cas">+acc</span>|selon (conformité)
κατὰ τῶν Ἀθηναίων|contre les Athéniens
κατὰ τὸν νόμον|selon la loi
φυλάττω|je garde, j'observe (une règle)
πορεύομαι|je marche
ὁ πόρος|le passage
παρ-έχω|je donne, je fournis
πρῶτον|d'abord
ἔπειτᾰ|ensuite
ἕκαστος|chacun, chaque
διά <span class="cas">+gen</span>|à travers&nbsp;; pendant, durant (application au domaine du temps de l'idée générale de <span style="font-style: italic">à travers</span>)
διά <span class="cas">+acc</span>|à cause de
διὰ τοῦ ἀγροῦ|à travers le champ
διὰ τὴν νόσον|à cause de la maladie

ἐπαινέ-ω|j'approuve
ἐχθρός|ennemi, odieux

ἀνόητος|insensé
κολακεύω|je flatte
τὰ τῶν ἄλλων [κτήματα]|les biens d'autrui
ἡ Βουλή|la Boulè
φεύγω|je fuis, je suis accusé
ὁ Πλάτων, &#8209;ωνος<br><span class="fr">[Πλατ<span class="desinence">ων</span>-]</span>|Platon

ἡ κάλαθος|la corbeille
οἰκοδομέ-ω|je bâtis
πράγματα παρέχω|je donne du souci
διοικέ-ω|j'administre
ἡ δημοκρατ<span class="desinence">ίᾱ</span>|la démocratie (le gouvernement du peuple, δῆμος)
ἡ ἐγκράτ<span class="desinence">ειᾰ</span>|la maîtrise (de soi)
πάνυ|très, extrêmement
μακρός|long
δι-άγω|je passe mon temps à <span class="cas">+participe</span>
σπουδάζω περί|je m'occupe (activement et sérieusement) de
ἡ Ἀκαδημίᾱ|l'Académie

ὁ Δημοσθένης, &#8209;ους|Démosthène
ὁ Φίλιππος|Philippe
μῡρίος|innombrable
ἀνέλπιστος|désespéré

τὸ διδασκαλεῖον|l'école
φοιτά-ω εἰς <span class="cas">+acc</span>|je fréquente
πρός <span class="cas">+acc</span>|vers, contre
πρός <span class="cas">+dat</span>|en plus de
πρὸς ὅν|conformément auquel
τὸ ἔγκλημα, ἐγκλήματος<br><span class="fr">[ἐγκλημα<span class="desinence">τ</span>-]</span>|l'accusation (judiciaire)
ἡ κλοπή|le vol
ἡ κακολογίᾱ|la médisance, la diffamation
ἡ ἀχαριστίᾱ|l'ingratitude
ἀχάριστος|ingrat
μάλιστᾰ|tout à fait
ἀμελῶς|négligemment
ἔχω <span class="cas">+adv</span>|je suis dans tel ou tel état
ἡ σωφρο<span class="desinence">σύνη</span>|le sens de la mesure et de l'équilibre dans les sentiments et les passions
ὁρά-ω|je vois
πρεσϐύτερος|aîné
τὸ ποτόν|la boisson
τοξεύω|je tire à l'arc
ἀκοντίζω|je lance le javelot

ὁ ἐπιστάτης, -ου|le directeur
τὸ πόλισμα, &#8209;ατος<br><span class="fr">[πολισμα<span class="desinence">τ</span>-]</span>|l'État
ὁ κανών, &#8209;όνος<br><span class="fr">[καν<span class="desinence">ον</span>-]</span>|la règle, le modèle, le canon
ἀπ-ευθύνω|je règle
σκολιός|oblique, dévoyé
τὸ παράδειγμα, &#8209;ατος<br><span class="fr">[παραδειγμα<span class="desinence">τ</span>-]</span>|l'exemple
παράδειγμα ἑαυτὸν παρέχειν τινός|se donner en exemple de quelque chose
ἡ ἀνομίᾱ|l'illégalité
πλέ-ω|je navigue
ὁ πυρσός|le phare
δι-αμαρτάνω <span class="cas">+gen</span>|je manque (au sens de ne pas atteindre)
