tags: ἕρμαιον ἕρμαιον-9 vocabulaire

οὐδείς|personne, aucun, aucune, rien

Λακεδαιμόνιος|Lacédémonien
ὁ πόλεμος|la guerre
αἰσχρός|laid, honteux
ἔξεστι|il est permis, il est possible
κοινός|commun
γυμνός|nu
γυμνάζω|j'exerce
γυμνάζομαι|je m'exerce
τὸ γυμνάσιον|le gymnase
ἡ παρθένος|la jeune fille
ζή-ω|je vis
χρή-ομαι|je me sers de <span class="cas">+dat</span>
ὁ χρυσός|l'or
ὁ ἄργυρος|l'argent
ὁ θάνατος|la mort
ἀπο-θνῄσκω|je meurs
βιό-ω|je vis
ὁ βωμός|l'autel
ὥσπερ … οὕτω(ς) …|de même que … de même …
παρά|auprès de, chez
ἤ|ou bien

διψή-ω|j'ai soif
πεινή-ω|j'ai faim

εὐτυχέ-ω|je suis heureux, je réussis
ἡ εὐτυχίᾱ|le succès
ἀτυχέ-ω|je suis malheureux, j'échoue
ἡ ἀτυχίᾱ|l'échec
ψύχω|je souffle, je respire&nbsp;; je rafraîchis
ἡ ψυχή|l'âme, le souffle vital
μικρός|petit
σκοπέ-ω|j'examine
ὁ χρόνος|le temps
ὁ πλοῦτος|la richesse
βλέπω|je vois, je regarde
ἡ χώρᾱ|le pays
τὸ χωρίον|le domaine
<table><tr><td>πολύς</td><td>πολλοῦ</td></tr><tr><td>πολύ</td><td>πολλοῦ</td></tr><tr><td>πολλή</td><td>πολλῆς</td></tr></table>|abondant, nombreux<br>[adj. 3<sup>ème</sup> cl. irrég.]
<table><tr><td>μέγας</td><td>μεγάλου</td></tr><tr><td>μέγα</td><td>μεγάλου</td></tr><tr><td>μεγάλη</td><td>μεγάλης</td></tr></table>|grand<br>[adj. 3<sup>ème</sup> cl. irrég.]

ἡ εἰρήνη|la paix
πάντα ποιέ-ω|je mets tout en œuvre
ἐλέγχω|j'éprouve, je teste
θαυμάζω|j'admire
θαυμαστός|étonnant
ἑστιά-ω|je fête, je régale, je reçois (un invité)
ἡ γνώμη|l'avis, l'opinion
φιλάργυρος|avare
ἐπι-τρέπω|je confie
ἀνίατος|incurable
ἡ διάλυσις|la séparation
ἐπιχειρέ-ω|j'entreprends
ἡ ἐλευθερίᾱ|la liberté
πλούσιος|riche
γοῦν|en tout cas
ἡ εὐωχίᾱ|le festin
οὔτε … οὔτε …|ni … ni …
ὁ ὄχλος|la foule
ἡ εὐδαιμονίᾱ|le bonheur
κουφίζω|j'allège
ὁ ὀϐολός|l'obole
